output ; startpoint ; endpoint ; numContinuum ; startF1 ; endF1 ; targetF1 ; zF1 ; stF1 ; startF2 ; endF2 ; targetF2 ; zF2 ; stF2 ; startF3 ; endF3 ; targetF3 ; zF3 ; stF3
Sem_Kiep_03.flac_to_Sem_Kip_04.flac_0.wav ; Sem_Kiep_03.flac ; Sem_Kip_04.flac ;  0 ; 260 ; 329 ; 260 ; 2.615 ; 0.000 ; 2156 ; 2051 ; 2156 ; 13.513 ; 0.000 ; 2725 ; 2591; 2725 ; 15.063 ; 0.000
Sem_Kiep_03.flac_to_Sem_Kip_04.flac_1.wav ; Sem_Kiep_03.flac ; Sem_Kip_04.flac ;  1 ; 260 ; 329 ; 272 ; 2.732 ; 0.721 ; 2156 ; 2051 ; 2138 ; 13.458 ; -0.145 ; 2725 ; 2591; 2702 ; 15.008 ; -0.146
Sem_Kiep_03.flac_to_Sem_Kip_04.flac_2.wav ; Sem_Kiep_03.flac ; Sem_Kip_04.flac ;  2 ; 260 ; 329 ; 283 ; 2.849 ; 1.420 ; 2156 ; 2051 ; 2120 ; 13.402 ; -0.289 ; 2725 ; 2591; 2679 ; 14.953 ; -0.292
Sem_Kiep_03.flac_to_Sem_Kip_04.flac_3.wav ; Sem_Kiep_03.flac ; Sem_Kip_04.flac ;  3 ; 260 ; 329 ; 294 ; 2.967 ; 2.098 ; 2156 ; 2051 ; 2103 ; 13.346 ; -0.433 ; 2725 ; 2591; 2657 ; 14.898 ; -0.438
Sem_Kiep_03.flac_to_Sem_Kip_04.flac_4.wav ; Sem_Kiep_03.flac ; Sem_Kip_04.flac ;  4 ; 260 ; 329 ; 305 ; 3.084 ; 2.757 ; 2156 ; 2051 ; 2085 ; 13.290 ; -0.578 ; 2725 ; 2591; 2634 ; 14.843 ; -0.583
Sem_Kiep_03.flac_to_Sem_Kip_04.flac_5.wav ; Sem_Kiep_03.flac ; Sem_Kip_04.flac ;  5 ; 260 ; 329 ; 317 ; 3.202 ; 3.398 ; 2156 ; 2051 ; 2068 ; 13.234 ; -0.722 ; 2725 ; 2591; 2612 ; 14.788 ; -0.728
Sem_Kiep_03.flac_to_Sem_Kip_04.flac_6.wav ; Sem_Kiep_03.flac ; Sem_Kip_04.flac ;  6 ; 260 ; 329 ; 329 ; 3.319 ; 4.023 ; 2156 ; 2051 ; 2051 ; 13.178 ; -0.867 ; 2725 ; 2591; 2591 ; 14.732 ; -0.874
Sem_Kip_04.flac_to_Sem_Kiep_03.flac_0.wav ; Sem_Kip_04.flac ; Sem_Kiep_03.flac ;  0 ; 329 ; 260 ; 329 ; 3.319 ; 0.000 ; 2051 ; 2156 ; 2051 ; 13.178 ; 0.000 ; 2591 ; 2725; 2591 ; 14.732 ; 0.000
Sem_Kip_04.flac_to_Sem_Kiep_03.flac_1.wav ; Sem_Kip_04.flac ; Sem_Kiep_03.flac ;  1 ; 329 ; 260 ; 317 ; 3.202 ; -0.625 ; 2051 ; 2156 ; 2068 ; 13.234 ; 0.144 ; 2591 ; 2725; 2612 ; 14.788 ; 0.145
Sem_Kip_04.flac_to_Sem_Kiep_03.flac_2.wav ; Sem_Kip_04.flac ; Sem_Kiep_03.flac ;  2 ; 329 ; 260 ; 305 ; 3.084 ; -1.266 ; 2051 ; 2156 ; 2085 ; 13.290 ; 0.289 ; 2591 ; 2725; 2634 ; 14.843 ; 0.290
Sem_Kip_04.flac_to_Sem_Kiep_03.flac_3.wav ; Sem_Kip_04.flac ; Sem_Kiep_03.flac ;  3 ; 329 ; 260 ; 294 ; 2.967 ; -1.925 ; 2051 ; 2156 ; 2103 ; 13.346 ; 0.433 ; 2591 ; 2725; 2657 ; 14.898 ; 0.436
Sem_Kip_04.flac_to_Sem_Kiep_03.flac_4.wav ; Sem_Kip_04.flac ; Sem_Kiep_03.flac ;  4 ; 329 ; 260 ; 283 ; 2.849 ; -2.603 ; 2051 ; 2156 ; 2120 ; 13.402 ; 0.578 ; 2591 ; 2725; 2679 ; 14.953 ; 0.582
Sem_Kip_04.flac_to_Sem_Kiep_03.flac_5.wav ; Sem_Kip_04.flac ; Sem_Kiep_03.flac ;  5 ; 329 ; 260 ; 272 ; 2.732 ; -3.302 ; 2051 ; 2156 ; 2138 ; 13.458 ; 0.722 ; 2591 ; 2725; 2702 ; 15.008 ; 0.728
Sem_Kip_04.flac_to_Sem_Kiep_03.flac_6.wav ; Sem_Kip_04.flac ; Sem_Kiep_03.flac ;  6 ; 329 ; 260 ; 260 ; 2.615 ; -4.023 ; 2051 ; 2156 ; 2156 ; 13.513 ; 0.867 ; 2591 ; 2725; 2725 ; 15.063 ; 0.874
Sem_Kiep_04.flac_to_Sem_Kip_02.flac_0.wav ; Sem_Kiep_04.flac ; Sem_Kip_02.flac ;  0 ; 267 ; 332 ; 267 ; 2.683 ; 0.000 ; 2225 ; 2068 ; 2225 ; 13.723 ; 0.000 ; 2703 ; 2594; 2703 ; 15.010 ; 0.000
Sem_Kiep_04.flac_to_Sem_Kip_02.flac_1.wav ; Sem_Kiep_04.flac ; Sem_Kip_02.flac ;  1 ; 267 ; 332 ; 277 ; 2.795 ; 0.676 ; 2225 ; 2068 ; 2198 ; 13.642 ; -0.212 ; 2703 ; 2594; 2684 ; 14.965 ; -0.119
Sem_Kiep_04.flac_to_Sem_Kip_02.flac_2.wav ; Sem_Kiep_04.flac ; Sem_Kip_02.flac ;  2 ; 267 ; 332 ; 288 ; 2.907 ; 1.333 ; 2225 ; 2068 ; 2171 ; 13.560 ; -0.423 ; 2703 ; 2594; 2666 ; 14.920 ; -0.238
Sem_Kiep_04.flac_to_Sem_Kip_02.flac_3.wav ; Sem_Kiep_04.flac ; Sem_Kip_02.flac ;  3 ; 267 ; 332 ; 299 ; 3.019 ; 1.971 ; 2225 ; 2068 ; 2145 ; 13.478 ; -0.635 ; 2703 ; 2594; 2648 ; 14.875 ; -0.357
Sem_Kiep_04.flac_to_Sem_Kip_02.flac_4.wav ; Sem_Kiep_04.flac ; Sem_Kip_02.flac ;  4 ; 267 ; 332 ; 310 ; 3.131 ; 2.593 ; 2225 ; 2068 ; 2119 ; 13.397 ; -0.846 ; 2703 ; 2594; 2629 ; 14.830 ; -0.475
Sem_Kiep_04.flac_to_Sem_Kip_02.flac_5.wav ; Sem_Kiep_04.flac ; Sem_Kip_02.flac ;  5 ; 267 ; 332 ; 321 ; 3.243 ; 3.199 ; 2225 ; 2068 ; 2093 ; 13.315 ; -1.057 ; 2703 ; 2594; 2612 ; 14.785 ; -0.594
Sem_Kiep_04.flac_to_Sem_Kip_02.flac_6.wav ; Sem_Kiep_04.flac ; Sem_Kip_02.flac ;  6 ; 267 ; 332 ; 332 ; 3.355 ; 3.790 ; 2225 ; 2068 ; 2068 ; 13.233 ; -1.269 ; 2703 ; 2594; 2594 ; 14.741 ; -0.712
Sem_Kip_02.flac_to_Sem_Kiep_04.flac_0.wav ; Sem_Kip_02.flac ; Sem_Kiep_04.flac ;  0 ; 332 ; 267 ; 332 ; 3.355 ; 0.000 ; 2068 ; 2225 ; 2068 ; 13.233 ; 0.000 ; 2594 ; 2703; 2594 ; 14.741 ; 0.000
Sem_Kip_02.flac_to_Sem_Kiep_04.flac_1.wav ; Sem_Kip_02.flac ; Sem_Kiep_04.flac ;  1 ; 332 ; 267 ; 321 ; 3.243 ; -0.591 ; 2068 ; 2225 ; 2093 ; 13.315 ; 0.211 ; 2594 ; 2703; 2612 ; 14.785 ; 0.118
Sem_Kip_02.flac_to_Sem_Kiep_04.flac_2.wav ; Sem_Kip_02.flac ; Sem_Kiep_04.flac ;  2 ; 332 ; 267 ; 310 ; 3.131 ; -1.197 ; 2068 ; 2225 ; 2119 ; 13.397 ; 0.422 ; 2594 ; 2703; 2629 ; 14.830 ; 0.237
Sem_Kip_02.flac_to_Sem_Kiep_04.flac_3.wav ; Sem_Kip_02.flac ; Sem_Kiep_04.flac ;  3 ; 332 ; 267 ; 299 ; 3.019 ; -1.819 ; 2068 ; 2225 ; 2145 ; 13.478 ; 0.634 ; 2594 ; 2703; 2648 ; 14.875 ; 0.356
Sem_Kip_02.flac_to_Sem_Kiep_04.flac_4.wav ; Sem_Kip_02.flac ; Sem_Kiep_04.flac ;  4 ; 332 ; 267 ; 288 ; 2.907 ; -2.458 ; 2068 ; 2225 ; 2171 ; 13.560 ; 0.845 ; 2594 ; 2703; 2666 ; 14.920 ; 0.474
Sem_Kip_02.flac_to_Sem_Kiep_04.flac_5.wav ; Sem_Kip_02.flac ; Sem_Kiep_04.flac ;  5 ; 332 ; 267 ; 277 ; 2.795 ; -3.114 ; 2068 ; 2225 ; 2198 ; 13.642 ; 1.057 ; 2594 ; 2703; 2684 ; 14.965 ; 0.593
Sem_Kip_02.flac_to_Sem_Kiep_04.flac_6.wav ; Sem_Kip_02.flac ; Sem_Kiep_04.flac ;  6 ; 332 ; 267 ; 267 ; 2.683 ; -3.790 ; 2068 ; 2225 ; 2225 ; 13.723 ; 1.269 ; 2594 ; 2703; 2703 ; 15.010 ; 0.712
Sem_Kiep_01.flac_to_Sem_Kip_01.flac_0.wav ; Sem_Kiep_01.flac ; Sem_Kip_01.flac ;  0 ; 255 ; 311 ; 255 ; 2.560 ; 0.000 ; 2201 ; 2077 ; 2201 ; 13.650 ; 0.000 ; 2967 ; 2553; 2967 ; 15.614 ; 0.000
Sem_Kiep_01.flac_to_Sem_Kip_01.flac_1.wav ; Sem_Kiep_01.flac ; Sem_Kip_01.flac ;  1 ; 255 ; 311 ; 264 ; 2.656 ; 0.602 ; 2201 ; 2077 ; 2179 ; 13.586 ; -0.167 ; 2967 ; 2553; 2893 ; 15.452 ; -0.438
Sem_Kiep_01.flac_to_Sem_Kip_01.flac_2.wav ; Sem_Kiep_01.flac ; Sem_Kip_01.flac ;  2 ; 255 ; 311 ; 273 ; 2.753 ; 1.188 ; 2201 ; 2077 ; 2159 ; 13.521 ; -0.334 ; 2967 ; 2553; 2821 ; 15.289 ; -0.873
