Speaker;Target;1;2;3;4
Sem;Kiep;96;99;85;119
Sem;Kip;108;78;75;82
Sem;Cap;83;118;110;83
Sem;Kien;85;85;115;113
Sem;Kin;98;104;110;99
Sem;Ken;98;102;103;104
Sem;Piep;72;82;67;72
Sem;Pip;68;79;64;74
Sem;Pep;72;79;79;75
Sem;Cup;79;92;83;87
Sem;Kun;110;112;117;128
Sem;Pup;70;70;70;70
Sem;Koen;70;70;70;70
Sem;Kon;70;70;70;70
Sem;Kan;70;70;70;70
Sem;Coup;70;70;70;70
Sem;Kop;70;70;70;70
Sem;Kap;70;70;70;70
Sem;Poep;70;70;70;70
Sem;Pop;70;70;70;70
Sem;Pap;70;70;70;70
Britt;Kiep;108;86;70;70
Britt;Kip;70;70;70;70
Britt;Cap;70;70;70;70
Britt;Kien;70;70;70;70
Britt;Kin;70;70;70;70
Britt;Ken;70;70;70;70
Britt;Piep;70;70;70;70
Britt;Pip;70;70;70;70
Britt;Pep;70;70;70;70
Britt;Cup;70;70;70;70
Britt;Kun;70;70;70;70
Britt;Pup;70;70;70;70
Britt;Koen;70;70;70;70
Britt;Kon;70;70;70;70
Britt;Kan;70;70;70;70
Britt;Coup;70;70;70;70
Britt;Kop;70;70;70;70
Britt;Kap;70;70;70;70
Britt;Poep;70;70;70;70
Britt;Pop;70;70;70;70
Britt;Pap;70;70;70;70
